Time,Request Time,Computation Time,Diff Time
2023-11-08T10:05:14,8.951425314,8.913134467,0.038290847
2023-11-08T10:05:23,8.507528543,8.488350239,0.019178304
2023-11-08T10:05:33,8.514143944,8.491443734,0.02270021
2023-11-08T10:05:43,9.078898907,9.060021626,0.018877281
2023-11-08T10:05:52,8.516273737,8.495907648,0.020366089
2023-11-08T10:06:02,8.508149862,8.488447939,0.019701923
2023-11-08T10:06:11,8.492454529,8.47636625,0.016088279
2023-11-08T10:06:42,29.9960382,8.969555878,21.02648232
2023-11-08T10:07:13,29.98044467,8.956697026,21.02374764
2023-11-08T10:07:23,9.011095047,8.977560644,0.033534403
2023-11-08T10:07:33,8.497505188,8.481412113,0.016093075
2023-11-08T10:07:43,8.999526978,8.977834641,0.021692337
2023-11-08T10:07:53,8.98298955,8.961132368,0.021857182
2023-11-08T10:08:02,8.515030861,8.495487642,0.019543219
2023-11-08T10:08:12,9.020517111,9.003966551,0.01655056
2023-11-08T10:08:22,8.962185383,8.942070749,0.020114634
2023-11-08T10:08:54,30.11178684,9.078746194,21.03304065
2023-11-08T10:09:25,29.97499871,8.955987964,21.01901075
2023-11-08T10:09:35,9.015657902,8.985228661,0.030429241
2023-11-08T10:09:45,8.994697332,8.976344782,0.01835255
2023-11-08T10:09:54,8.500661612,8.479387478,0.021274134
2023-11-08T10:10:04,8.996663809,8.975925374,0.020738435
2023-11-08T10:10:14,8.510115862,8.491653615,0.018462247
2023-11-08T10:10:23,8.500809669,8.482867027,0.017942642
2023-11-08T10:10:33,8.991658211,8.971796013,0.019862198
2023-11-08T10:11:04,29.51625633,8.475681646,21.04057469
2023-11-08T10:11:35,29.97851443,8.95791789,21.02059654
2023-11-08T10:11:45,8.99704957,8.965714178,0.031335392
2023-11-08T10:11:54,8.49667716,8.478086798,0.018590362
2023-11-08T10:12:04,8.507153511,8.490114458,0.017039053
2023-11-08T10:12:14,9.127326012,9.104896397,0.022429615
2023-11-08T10:12:23,8.507512808,8.489136418,0.01837639
2023-11-08T10:12:33,8.51474309,8.491361717,0.023381373
2023-11-08T10:12:43,8.933234215,8.91678627,0.016447945
2023-11-08T10:13:13,29.51597977,8.478353032,21.03762673
2023-11-08T10:13:44,29.50133777,8.481148154,21.02018961
2023-11-08T10:13:53,8.518360615,8.49257102,0.025789595
2023-11-08T10:14:03,8.500947714,8.483029084,0.01791863
2023-11-08T10:14:13,9.168593407,9.148012779,0.020580628
2023-11-08T10:14:23,9.08755374,9.068666449,0.018887291
2023-11-08T10:14:33,9.010180473,8.992160538,0.018019935
2023-11-08T10:14:42,8.51769805,8.496347764,0.021350286
2023-11-08T10:14:52,8.971551657,8.955752248,0.015799409
2023-11-08T10:15:23,29.51596713,8.484819104,21.03114803
2023-11-08T10:15:54,30.09620404,9.073325198,21.02287884
2023-11-08T10:16:04,8.997889757,8.973639993,0.024249764
2023-11-08T10:16:15,10.01144338,9.994170624,0.017272753
2023-11-08T10:16:25,8.494653702,8.477582188,0.017071514
2023-11-08T10:16:35,8.997144461,8.97433379,0.022810671
2023-11-08T10:16:45,9.016978979,8.998893581,0.018085398
2023-11-08T10:16:55,8.984662533,8.967024982,0.017637551
2023-11-08T10:17:25,29.52865624,8.490086155,21.03857009
2023-11-08T10:17:56,30.04456735,9.022056712,21.02251063
2023-11-08T10:18:06,8.500584602,8.473543161,0.027041441
2023-11-08T10:18:16,9.007665157,8.981469859,0.026195298
2023-11-08T10:18:25,8.500798702,8.47836308,0.022435622
2023-11-08T10:18:35,8.986136198,8.965716101,0.020420097
2023-11-08T10:18:45,9.109553099,9.090670817,0.018882282
2023-11-08T10:18:56,10.09295225,10.07595258,0.016999675
2023-11-08T10:19:27,29.50705099,8.480890466,21.02616053
2023-11-08T10:19:57,29.5091002,8.488400268,21.02069993
2023-11-08T10:20:07,8.495102644,8.471812589,0.023290055
2023-11-08T10:20:16,8.511878014,8.491492655,0.020385359
2023-11-08T10:20:26,9.001489639,8.984404461,0.017085178
2023-11-08T10:20:36,8.501130104,8.484902085,0.016228019
2023-11-08T10:20:45,8.505819559,8.488944904,0.016874655
2023-11-08T10:20:55,8.49876833,8.481061806,0.017706524
2023-11-08T10:21:05,8.980496407,8.962103509,0.018392898
2023-11-08T10:21:36,30.01746798,8.482020006,21.53544797
2023-11-08T10:22:06,29.49426293,8.474802843,21.01946009
2023-11-08T10:22:16,8.505164146,8.480136952,0.025027194
2023-11-08T10:22:27,10.01221037,9.991046268,0.021164101
2023-11-08T10:22:38,10.07042146,10.05373789,0.016683568
2023-11-08T10:22:48,8.496303082,8.476247715,0.020055367
2023-11-08T10:22:57,8.501356125,8.477160552,0.024195573
2023-11-08T10:23:07,8.499287128,8.480358234,0.018928894
2023-11-08T10:23:16,8.49831152,8.476378787,0.021932733
2023-11-08T10:23:26,8.497083187,8.479258746,0.017824441
2023-11-08T10:23:37,10.05345535,10.03512772,0.018327636
2023-11-08T10:23:47,9.057179451,9.03965311,0.017526341
2023-11-08T10:23:57,9.110160351,9.09434916,0.015811191
2023-11-08T10:24:07,9.17904973,9.162778803,0.016270927
2023-11-08T10:24:18,10.0320642,9.998459455,0.033604744
2023-11-08T10:24:29,10.0728755,10.05327931,0.01959619
2023-11-08T10:24:39,8.50543046,8.48616553,0.01926493
2023-11-08T10:24:48,8.490959883,8.475166912,0.015792971
2023-11-08T10:24:58,9.11494112,9.097541139,0.017399981
2023-11-08T10:25:08,8.5083251,8.48794489,0.02038021
2023-11-08T10:25:40,31.09268999,10.06245682,21.03023317
2023-11-08T10:26:10,29.50460696,8.48222116,21.0223858
2023-11-08T10:26:21,9.541558504,9.503717381,0.037841123
2023-11-08T10:26:30,8.496266365,8.478046579,0.018219786
2023-11-08T10:26:40,8.502937794,8.483883011,0.019054783
2023-11-08T10:26:49,8.498510599,8.480925739,0.01758486
2023-11-08T10:27:00,9.506410599,9.487121331,0.019289268
2023-11-08T10:27:10,9.49614048,9.479976111,0.016164369
2023-11-08T10:27:42,30.52976894,9.491941624,21.03782732
2023-11-08T10:28:12,29.5124898,8.48981393,21.02267587
2023-11-08T10:28:23,10.00160456,9.970721249,0.030883308
2023-11-08T10:28:33,8.498882532,8.480618183,0.018264349
